ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
3315,L3Harris Technologies,Melbourne,FL,"10,001+ employees",https://www.l3harris.com/,Defense and Space Manufacturing,Unknown,2019,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEB2mPDbj_TDA/company-logo_200_200/0/1625156630923?e=1677715200&v=beta&t=nKm4XyfR70ozMdQlgdbtWVFlv-QfJT3n5Brod-c7G2k
3316,Leviton,Melville,NY,"5,001-10,000 employees",http://www.leviton.com/,"Appliances, Electrical, and Electronics Manufacturing",Unknown,1906,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEfvDgqn2V1yA/company-logo_200_200/0/1641593286431?e=1677715200&v=beta&t=YJHO9XsfAwoUhl4G31gNrra0irTI8rxXMwv2UZd9KOo
3317,LinQuest,Los Angeles,CA,"1,001-5,000 employees",https://www.linquest.com/,Defense and Space Manufacturing,Unknown,2003,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHQ5qA_zdmOLA/company-logo_200_200/0/1632857616790?e=1677715200&v=beta&t=8mYSEft3amhpQwvi7hRoIppxYD1pXISa1Cog6Gmg9vI
3318,Lucky Brand,Los Angeles,CA,"1,001-5,000 employees",http://www.luckybrand.com/,Retail Apparel and Fashion,Unknown,1990,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQESmKUnLYGlVA/company-logo_200_200/0/1593876675013?e=1677715200&v=beta&t=WhJNAbYDiHtBZbGSsMmUqtzxoQk8dMJPK7e15lU18nU
3319,Labcorp,Burlington,NC,"10,001+ employees",http://www.labcorp.com/,Hospitals and Health Care,Unknown,1978,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFTQRbsMIZ-uA/company-logo_200_200/0/1608215620405?e=1677715200&v=beta&t=Y1ZYhgeef4Pazu16Jf3NlfYZKHlwi4sRJoEk35_jTe0
3320,Lamps Plus,Los Angeles,CA,"1,001-5,000 employees",http://www.LampsPlus.com/,Retail,Unknown,1976,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQExAQ-8MWjYpw/company-logo_200_200/0/1520893880922?e=1677715200&v=beta&t=mDbvg7_Z8YN5yS6xM7FbsrQuGXRMY_Qx5nh1EseskF4
3321,Lam Research,Fremont,CA,"10,001+ employees",http://www.lamresearch.com/,Semiconductor Manufacturing,Unknown,1980,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQG8Bpmhs2zyew/company-logo_200_200/0/1628165074621?e=1677715200&v=beta&t=gW677iLnE7a45dxtjupGa2GxisHZiMG4xQ5MgHIh5Hc
3322,LegalZoom,Glendale,CA,"501-1,000 employees",http://www.legalzoom.com/,Legal Services,Unknown,2001,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHA5FEWhw5zPw/company-logo_200_200/0/1657144194470?e=1677715200&v=beta&t=8AkShAp6Y8IEuu8Zi1I8bTvuob0ykRxGXG9kW0dzZv8
3323,Leggett & Platt,Carthage,MO,"10,001+ employees",http://www.leggett.com/,Furniture and Home Furnishings Manufacturing,Unknown,1883,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHapVpZs2HXWA/company-logo_200_200/0/1574703113411?e=1677715200&v=beta&t=madLwr7Nj14VKO1PlF-b1ScNV5Hj1iDgqvjyyhXqJwU
3324,Leidos,Reston,VA,"10,001+ employees",https://www.leidos.com/,IT Services and IT Consulting,Unknown,1969,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGjjjpPq4MEhA/company-logo_200_200/0/1656675105155?e=1677715200&v=beta&t=QWTS0_m68c0UWK0mIwcInGL0ZfJC6tvMN3ZYR8IJKzc
