ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
26,SnF Management (Corporate),"https://www.glassdoor.com/Overview/Working-at-SnF-Management-EI_IE729398.11,25.htm","West Hollywood, CA",51 to 200 Employees,,Company - Private,Health Care Services & Hospitals,,$5 to $25 million (USD),http://www.snfmgt.com/
27,Stila Cosmetics,,,,,,,,,
28,Unisoy Jerky,,,,,,,,,
29,WelBeHealth,"https://www.glassdoor.com/Overview/Working-at-WelbeHealth-EI_IE2424133.11,22.htm","Los Angeles, CA",501 to 1000 Employees,2015,Company - Private,Health Care Services & Hospitals,"At WelbeHealth, our vision is a world where every human being participates in our culture through their final days. To make this vision a reality, we provide integrated medical and social services to our most vulnerable seniors, helping to unlock their full potential. We are looking for team members who are energized by working in diverse teams toward our shared purpose, who are eager to drive groundbreaking innovation, and who will interact with those we serve and those who serve them in a spirit of understanding and compassion.

We provide PACE (Program of All-Inclusive Care for the Elderly) program services in central and southern California and will be expanding to many locations throughout California and beyond. Our PACE programs serve as our participants’ health insurer and directly provides comprehensive primary care and social services to keep them living safely in the community.",Unknown / Non-Applicable,http://www.welbehealth.com/
30,Grain Craft,"https://www.glassdoor.com/Overview/Working-at-Grain-Craft-EI_IE1327700.11,22.htm","Chattanooga, TN",Unknown,,Company - Private,Food & Beverage Manufacturing,,Unknown / Non-Applicable,https://www.graincraft.com/
31,"Kimball, Tirey & St. John LLP","https://www.glassdoor.com/Overview/Working-at-Kimball-Tirey-and-St-John-EI_IE322718.11,36.htm","San Diego, CA",51 to 200 Employees,1977,Private Practice / Firm,Legal,"Kimball, Tirey & St. John LLP began its journey in 1977 when Ted Kimball began practicing landlord/tenant law in San Diego, California. Joined a few years later by Pat Tirey and Wendy St. John, the trio began a firm that would develop a reputation as the leader in landlord/tenant law and expand into five locations across California. Today, the firm offers legal services to our many clients in a variety of practice areas, including Landlord Tenant, Business Real Estate, Collections, Fair Housing, and Estate Planning. KTS strives to maintain an atmosphere that keeps both our clients and our employees happy!",$5 to $25 million (USD),http://www.kts-law.com/
32,LiteGear Inc,,,,,,,,,
33,WorkReduce,"https://www.glassdoor.com/Overview/Working-at-WorkReduce-EI_IE1701723.11,21.htm","Medford, MA",51 to 200 Employees,2014,Company - Private,Advertising & Public Relations,"There’s a reason why WorkReduce is the industry leader in providing expert talent solutions across the ad industry. We’ve never been afraid to do things differently. As an industry innovator and challenger, we deliver high-impact results to the biggest brands and agencies worldwide through a remote workforce operating across 31 states and 7 countries.",Unknown / Non-Applicable,http://www.workreduce.com/
34,LA Mattress Store,,,,,,,,,
35,Law Office Of Vivian Szawarc,"https://www.glassdoor.com/Overview/Working-at-Law-Office-of-Vivian-N-Szawarc-EI_IE2581639.11,41.htm","Los Angeles, CA",51 to 200 Employees,,Unknown,,,Unknown / Non-Applicable,http://www.vivianesq.net/
