ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
955,Complete Staffing Solutions,"https://www.glassdoor.com/Overview/Working-at-Complete-Staffing-Solutions-EI_IE656165.11,38.htm","Marlborough, MA",1 to 50 Employees,,Company - Private,Advertising & Public Relations,,$5 to $25 million (USD),http://www.completestaffingsolutions.com/
956,Wareham Pediatric Associates,,,,,,,,,
957,QIAGEN,"https://www.glassdoor.com/Overview/Working-at-QIAGEN-EI_IE6170.11,17.htm","Germantown, MD",1001 to 5000 Employees,1984,Company - Public (QGEN),Biotech & Pharmaceuticals,"5,200 QIAGEN employees, based in more than 35 countries.
Our people share a collaborative, truly global culture – plus a commitment to making improvements in life possible.

QIAGEN serves more than 500,000 customers around the globe, all seeking insights from the building blocks of life – DNA, RNA and proteins. We deliver Sample to Insight solutions for molecular testing, propelling QIAGEN customers from start to finish to unlock new insights.

Our product portfolio spans the full range of molecular testing applications. We lead the world in products to extract, purify and stabilize DNA, RNA and protein from biological samples, even the most difficult, a critical first step in each customer’s quest to generate new insights. Our novel testing technologies can target single molecular variants – or hundreds. QIAGEN software analyzes and interprets vast amounts of data to deliver valuable insights. Our automation systems bring together all of these steps in seamless end-to-end workflows.",$1 to $5 billion (USD),http://www.qiagen.com/
958,Perfect Dental,"https://www.glassdoor.com/Overview/Working-at-Perfect-Dental-EI_IE716717.11,25.htm","Needham, MA",1 to 50 Employees,,Company - Private,Health Care Services & Hospitals,,$1 to $5 million (USD),http://www.myperfectdental.com/
959,MassMutual,"https://www.glassdoor.com/Overview/Working-at-MassMutual-EI_IE2890.11,21.htm","Springfield, MA",5001 to 10000 Employees,1851,Company - Private,Insurance Carriers,"When you join us at MassMutual, you're joining a leading mutual life insurance company that is run for the benefit of its members and participating policy owners.

Since our founding in 1851, we've had a single purpose: to help people secure their future and protect the ones they love. More than 170 years later, that commitment remains our guiding principle.

Living mutual is at the core of who we are and the belief that guides what we do.",$10+ billion (USD),http://www.massmutual.com/
960,"Boston Networks, LLC",,,,,,,,,
961,Lighthouse Behavioral Health & Wellness Center,,,,,,,,,
962,Boston Transportation Company,,,,,,,,,
963,Zynex Medical,"https://www.glassdoor.com/Overview/Working-at-Zynex-Medical-EI_IE635432.11,24.htm","Englewood, CO",201 to 500 Employees,1996,Company - Public (ZYXI),Health Care Products Manufacturing,"Since 1996, Zynex Medical has been a leading provider of relief for patients with functional disability through the creation, distribution and marketing of the highest quality electrotherapy products available today. Zynex, Inc., engineers, manufactures, markets and sells its own design of medical devices in three subsidiaries. Zynex Medical™ is a provider of electrotherapy products for home use. Zynex Monitoring Solutions™ develops products for blood volume/cardiac monitoring for use in hospitals. Zynex NeuroDiagnostics™ develops devices for EMG and EEG diagnostic purposes in the neurology clinic markets.",Unknown / Non-Applicable,http://www.zynex.com/
964,MAPFRE,"https://www.glassdoor.com/Overview/Working-at-MAPFRE-Insurance-EI_IE679873.11,27.htm","Webster, MA",1001 to 5000 Employees,1972,Subsidiary or Business Segment,Insurance Carriers,"At MAPFRE Insurance we build relationships based on trust. We’re committed to providing high quality products and valuable services, as well as exceptional customer experiences.

MAPFRE Insurance originated in Massachusetts as The Commerce Group, Inc. (CGI), founded in the town of Webster, Massachusetts in 1972. We are the largest private passenger automobile insurer, homeowners’ insurer and commercial automobile insurer in Massachusetts. We offer property and casualty insurance in 19 states across the United States through a network of more than 4,200 independent agents and brokers. We are rated “A” (Excellent) by A.M. Best Company.

MAPFRE Insurance is part of the MAPFRE Group, an international insurer with business in 47 countries on five continents. The MAPFRE Group is the leading insurer in Spain. It is also the leading insurer in the non-life market in Latin America and the sixth largest non-life insurer in Europe.",$1 to $5 billion (USD),http://www.mapfreinsurance.com/
965,Sumaria Systems LLC,"https://www.glassdoor.com/Overview/Working-at-Sumaria-Systems-Inc-EI_IE223236.11,30.htm","Danvers, MA",201 to 500 Employees,1982,Company - Private,Aerospace & Defense,"Sumaria Systems, LLC is a leading Information Technology (IT), Engineering, and Professional Services company headquartered in Danvers, MA with operations across the US. Since 1982, Sumaria has provided a wide variety of technical, engineering, professional and enterprise networking solutions to the U.S. Department of Defense (DoD) and other government agencies.

We have specialized professionals for every need, and flexible contract vehicles for comprehensive services and rapid reaction solutions and support.

Our streamlined structure and proactive quality-certified contract management ensure customer satisfaction.

We operate with the highest degree of integrity, objectivity and competency to provide outstanding performance that creates sustained, long-term relationships with our customers.",Unknown / Non-Applicable,https://www.sumaria.com/
966,Ocean Breeze Cultivators LLC,,,,,,,,,
967,F.W. Webb,"https://www.glassdoor.com/Overview/Working-at-F-W-Webb-EI_IE13766.11,19.htm","Bedford, MA",1001 to 5000 Employees,1866,Company - Private,Wholesale,"Headquartered in Bedford, Massachusetts, F.W. Webb is the largest wholesale distributor of plumbing, heating, HVAC/R and PVF products and supplies in the Northeast. On the retail side, we operate close to 40 Frank Webb's Bath Center showrooms.

Our 2,000+ employees in more than 80 locations service customers in our core business disciplines as well as evolving sectors such as water systems, process controls, fire protection, and high purity process components. We pride ourselves in offering our customers extensive inventory, convenient and personalized services, and depth of expertise.

We are passionate about what we do; our customers are number one; and our employees comprise the best team in the industry!",$1 to $5 billion (USD),http://www.fwwebb.com/
968,Prova Inc.,"https://www.glassdoor.com/Overview/Working-at-Prova-Group-EI_IE281675.11,22.htm","Irving, TX",1 to 50 Employees,,Company - Private,Computer Hardware Development,,$1 to $5 million (USD),http://www.provagroup.com/
969,DELO Industrial Adhesives LLC,"https://www.glassdoor.com/Overview/Working-at-DELO-EI_IE948330.11,15.htm","Sudbury, MA",501 to 1000 Employees,1961,Company - Private,Machinery Manufacturing,"DELO is a world-leading manufacturer of industrial adhesives, based in Germany. Owner-operated, for over 50 years we have developed tailor-made special adhesives and application technologies for high-tech industries such as automotive, aviation, optoelectronics, and electronics. Through subsidiaries in the US, China, Japan and Singapore, offices in Malaysia, Korea and Taiwan, and partners around the world, we can provide expert help to customers wherever they may be.",$100 to $500 million (USD),https://www.delo-adhesives.com/us
970,Patient's parent,,,,,,,,,
971,Seven Hills Foundation,"https://www.glassdoor.com/Overview/Working-at-Seven-Hills-Foundation-EI_IE421336.11,33.htm","Worcester, MA",1001 to 5000 Employees,1950,Nonprofit Organization,Civic & Social Services,"Being a part of one of the largest health and human services organizations in Massachusetts and Rhode Island, means there are endless opportunities for professional growth. Seven Hills Foundation & Affiliates employs over 4,000 individuals who work at over 190 locations. The diversity and array of services we provide to 60,000 individuals and families throughout MA and RI allows us to offer our staff a variety of professional opportunities. At Seven Hills, we welcome those individuals who share our passion for helping and empowering others and who can contribute toward our mission.",$100 to $500 million (USD),http://www.sevenhills.org/
972,"Trinity Management, LLC","https://www.glassdoor.com/Overview/Working-at-Trinity-Management-EI_IE1019839.11,29.htm","Boston, MA",Unknown,,Company - Private,Property Management,,Unknown / Non-Applicable,https://trinitymgt.org/
973,"The Travelers Companies, Inc.","https://www.glassdoor.com/Overview/Working-at-Travelers-EI_IE1904.11,20.htm","Hartford, CT",10000+ Employees,1853,Company - Public (TRV),Insurance Carriers,"When you work at Travelers, life’s most important moments become your life’s work. That means helping families feel secure, businesses to prosper, knowing that you’ve made a difference, and feeling like you belong to something bigger. It also means being part of a team of talented and passionate people that are evolving to meet changing needs – from customer service to data science and beyond.

Founded in 1853, The Travelers Companies, Inc. is a leading provider of property and casualty insurance for auto, home and business. Our expertise and focus on innovation have made us a leader in personal, business and specialty insurance and the only property casualty company in the Dow Jones Industrial Average. Every day, our approximately 30,000 employees and 13,500 independent agents and brokers in the United States, Canada, the United Kingdom and Ireland help provide peace of mind to our customers.

Travelers is deeply committed to giving back to the communities where its employees, customers and agents live and work. Through corporate funding and the Travelers Foundation, the company focuses its philanthropic giving on supporting academic and career success, developing thriving neighborhoods and enhancing lives through arts and culture. Travelers contributed more than $24 million in 2019 toward these important causes, and more than $223 million over the past decade. Travelers employees also logged nearly 130,000 hours of volunteer time in 2019.

At Travelers, our business is all about people. We know that our success depends on fostering a welcoming environment that brings together people with different backgrounds and perspectives. By doing so, we embrace new ideas and innovations, and a culture where employees feel valued, respected, and supported. Travelers has been recognized as a Best Place to Work for LGBTQ Equality, Disability Inclusion, and as a Military Friendly and Best Place for Vets Employer.

Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for more than 165 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.",$10+ billion (USD),http://www.travelers.com/
974,John M. Corcoran & Co.,"https://www.glassdoor.com/Overview/Working-at-John-M-Corcoran-EI_IE7346379.11,26.htm","Braintree, MA",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.jmcandco.com/
975,Cataldo Ambulance,"https://www.glassdoor.com/Overview/Working-at-Cataldo-Ambulance-Service-Inc-EI_IE150128.11,40.htm","Somerville, MA",201 to 500 Employees,1977,Company - Private,Taxi & Car Services,"Cataldo and Atlantic Ambulance have a wide service area dedicating emergency services, primary backup services, as well as medical transportation to a number of nursing homes, hospitals and other medical facilities throughout the Greater Boston and North Shore areas. Cataldo and Atlantic Ambulance (a division of Cataldo Ambulance Service) are proud to provide primary 911 EMS coverage and services and backup coverage to over 27 communities",$25 to $100 million (USD),http://www.cataldoambulance.com/
976,Brigham/Faulkner Ob/Gyn Associates,,,,,,,,,
977,Bridges by EPOCH at Westford,,,,,,,,,
978,Coastal Windows & Exteriors Inc.,"https://www.glassdoor.com/Overview/Working-at-Coastal-Windows-and-Exteriors-EI_IE1537708.11,40.htm","Beverly, MA",1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),http://www.mycoastalwindows.com/
979,Automated Health Systems,"https://www.glassdoor.com/Overview/Working-at-Automated-Health-Systems-EI_IE260873.11,35.htm","Pittsburgh, PA",501 to 1000 Employees,1979,Company - Private,Health Care Services & Hospitals,"Automated Health Systems provides vital healthcare services to the most vulnerable populations. From its headquarters in Pittsburgh, Pennsylvania, AHS manages state-of-the-art facilities located across the nation.

Our mission is what drives us to do everything possible to help those most in need. From the beginning, AHS has provided program development and administration services specifically related to enrollment, outreach and education in partnership with state administered healthcare programs. Our operations, including enrollment brokering, call center administration and eligibility services, are devoted primarily to underserved populations.

We provide a personalized approach to our clients, combining culturally sensitive outreach and education to support and empower consumers. In addition, we bring the resources, workflows and operational expertise to administer top-performing operations. Combined with the passion and commitment of a company that was formed solely to provide services to underserved populations, we have developed an in-house technical platform and team expertise allowing us to bring advanced solutions that creatively respond to issues in a transparent and efficient manner.

Since our founding, we have grown our company along with our skill sets and abilities to provide services in several distinct, yet interrelated lines of business across multiple states. The diversity of this experience gives us a comprehensive view of the challenges faced by our clients while allowing us to bring a well-rounded attitude, intensive knowledge base and successful track record to the projects we administer.",$100 to $500 million (USD),http://www.automated-health.com/
980,TJX Companies,"https://www.glassdoor.com/Overview/Working-at-The-TJX-Companies-Inc-EI_IE639.11,32.htm","Framingham, MA",10000+ Employees,1976,Company - Public (TJX),"Department, Clothing & Shoe Stores","The TJX Companies, Inc. is the leading off-price apparel and home fashions retailer in the U.S. and worldwide.

At the end of 2019, the Company had $40 billion in revenues, more than 4,300 stores in 9 countries, 3 e-commerce sites, and approximately 270,000 Associates.",$10+ billion (USD),http://www.jobs.tjx.com/
981,Cleanzen Cleaning Services,"https://www.glassdoor.com/Overview/Working-at-Cleanzen-Cleaning-Services-EI_IE2260297.11,37.htm","Boston, MA",1 to 50 Employees,2017,Company - Private,Building & Personnel Services,"Cleanzen is a house, maid, and commercial cleaning services. We have an online platform to conveniently book professional cleaning services for homes and office spaces in under 60 seconds. We have a strong commitment to customer satisfaction, this has consistently rated us as the best house & office cleaning service in the greater Boston, MA area.

Our 100% Happiness Guarantee is to offer you the best house cleaning & maid service possible. If you aren't 100% satisfied with your cleaning, let us know within 24 hours and we will come back to re-clean it - at no additional charge!",Less than $1 million (USD),http://www.cleanzen.com/
982,Jet Mail Services,,,,,,,,,
983,Forge,"https://www.glassdoor.com/Overview/Working-at-Forge-EI_IE6911441.11,16.htm","Newton, MA",51 to 200 Employees,2020,Company - Private,Construction,"Forge is on a mission to build and power the next-generation trades worker. With a unique combination of a real-world trades school, next-generation technology, and a team approach to building, Forge is giving people who love to work with their hands the chance to build a great career while tackling the tradesperson shortage head-on. Forge is trades reimagined for how we live and work today.",Unknown / Non-Applicable,http://www.forgeco.com/
984,FIT Staffing,"https://www.glassdoor.com/Overview/Working-at-FIT-Staffing-EI_IE1288986.11,23.htm","Springfield, MA",1 to 50 Employees,2005,Company - Private,HR Consulting,"FIT Staffing connects qualified IT professionals with local businesses looking to hire top technical talent. We provide a dynamic, personal approach to staffing, so we take the time to interview and understand both our candidates and our client companies. We have decades of collective expertise in creating successful connections in Western and Central Massachusetts and Northern Connecticut.",$1 to $5 million (USD),http://www.fitstaffingsolutions.com/
985,Fit4Life Movement,,,,,,,,,
986,NHOMS PLLC,"https://www.glassdoor.com/Overview/Working-at-New-Hampshire-Oral-and-Maxillofacial-Surgery-EI_IE7239442.11,55.htm","Pembroke, NH",Unknown,,Company - Private,Health Care Services & Hospitals,,Unknown / Non-Applicable,https://drmoavenian.com/
987,Leidos,"https://www.glassdoor.com/Overview/Working-at-Leidos-EI_IE730545.11,17.htm","Reston, VA",10000+ Employees,1969,Company - Public (LDOS),Aerospace & Defense,"Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.",$10+ billion (USD),http://www.leidos.com/
988,Hollingsworth Logistics,"https://www.glassdoor.com/Overview/Working-at-Crown-Staffing-Solutions-EI_IE1671768.11,35.htm","Dearborn, MI",1001 to 5000 Employees,2016,Company - Private,HR Consulting,,$5 to $25 million (USD),http://www.crownstaffingllc.com/
989,The Copley Group,,,,,,,,,
990,Department of Veterans Affairs,"https://www.glassdoor.com/Overview/Working-at-US-Department-of-Veterans-Affairs-EI_IE41429.11,44.htm","Washington, DC",10000+ Employees,1930,Government,National Agencies,"VA offers Veterans the largest, most technologically advanced, integrated health care system in the United States. We serve more than 9 million Veterans enrolled in the VA health system and operate more than 1,200 care sites, including 170 medical centers and more than 1,070 outpatient clinics, across all 50 states, the District of Columbia and U.S. territories.

Currently, more than 322,000 full-time health care professionals and support staff work in interdisciplinary care teams to deliver patient services daily. VA’s patient population crosses a wide spectrum of individuals — from elderly World War II Veterans to younger heroes who served in operations Enduring Freedom and Iraqi Freedom. VA also serves a growing number of female Veterans, who currently account for 7% of the total Veteran population.",Unknown / Non-Applicable,http://www.vacareers.va.gov/
991,Spectra Medical Device,"https://www.glassdoor.com/Overview/Working-at-Spectra-Medical-Devices-EI_IE281972.11,34.htm","Wilmington, MA",1 to 50 Employees,,Company - Private,"Department, Clothing & Shoe Stores",,$5 to $25 million (USD),http://www.spectramedical.com/
992,Southworth Development,"https://www.glassdoor.com/Overview/Working-at-Southworth-Development-EI_IE1406915.11,33.htm","Newton, MA",1 to 50 Employees,,Company - Private,Real Estate,,$1 to $5 million (USD),http://www.southworthdevelopment.com/
993,City Express,"https://www.glassdoor.com/Overview/Working-at-City-Express-EI_IE1528234.11,23.htm","Boston, MA",51 to 200 Employees,,Company - Private,,,$5 to $25 million (USD),http://www.cityexp.com/
994,The Edinburg Center,"https://www.glassdoor.com/Overview/Working-at-Edinburg-Center-EI_IE282220.11,26.htm","Bedford, MA",201 to 500 Employees,1977,Nonprofit Organization,Civic & Social Services,"Established in 1977, the Edinburg Center was founded on the tenets that all people have the potential to learn, the capacity for change, and the right to live a meaningful life in the community of their own choosing. What began as a non-profit Community Mental Health Center with a community-based Board of Directors and a budget of less than five hundred thousand dollars has grown over time to serve not only people with mental health conditions, but also persons with intellectual and developmental disabilities, co-occurring disorders, autism, and brain injuries. The individuals we currently serve range in age from three to eighty-seven. Though we have historically seen both adults and children in our programs, we see a trend of referrals of Transition Age Youth, and have responded accordingly.

Over the past several years, our organization has been awarded several contracts to deliver innovative services to both children and adults. Bring your expertise and make a difference in the lives of many.",$25 to $100 million (USD),http://www.edinburgcenter.org/
995,Hologic,"https://www.glassdoor.com/Overview/Working-at-Hologic-EI_IE1568.11,18.htm","Marlborough, MA",5001 to 10000 Employees,1985,Company - Public (HOLX),Health Care Products Manufacturing,"Hologic is a force for good. As an innovative global medical technology company, we specialize in women’s health and create products that detect and diagnose disease earlier and with more certainty than ever before. Driven by the passion of our employees, our science and commitment to progress is unstoppable. Our dedication and the level of rigor we apply to our practices is part of our culture. It applies to everything we do, including the way we select talent to join us, and who we sponsor to develop. Which is why we are fast becoming recognized as the place where top talent comes to grow.

A place where people with ambition, hunger and unstoppable potential thrive. The select few. The best of the best. Those prepared to push boundaries, drive change, and collaborate with the world’s brightest minds. Not everyone is invited to join us. But, if you make the cut, the opportunities to grow, progress and unleash your talents to better the lives of women all over the world are immense.",$1 to $5 billion (USD),http://www.hologic.com/
996,Gemline,"https://www.glassdoor.com/Overview/Working-at-Gemline-EI_IE925570.11,18.htm","Lawrence, MA",201 to 500 Employees,1958,Company - Private,Wholesale,"Founded in 1958, Gemline is a multi-award-winning consumer products company selling primarily into the $25 billion-dollar promotional and branded products markets. Known for our On Trend merchandise and On Time fulfilment, our product line consists of a wide range of drinkware, coolers, bags, business accessories, gifts, stationery and electronics, sold to many of the world’s biggest and best companies. One of the most admired organizations in the industry, Gemline is also ranked as one of the largest industry suppliers by the Advertising Specialty Institute.

With an in-house design team, and a focus on design innovation and quality, we go-to-market with a combination of house-designed brands, including AvianaTM, Travis & Wells® and Vertex®, and exclusive partnerships with retail consumer brands such Corkcicle®, Igloo®, MiiR®, Moleskine®, and Samsonite®.

Beyond our product, we differentiate ourselves through our people, values, and commitment to quality and service. Our culture is defined by our core values of respect for people, trust, integrity, and engagement. We are dedicated to continuous improvement and the development of our associates, allowing for personal, professional, and corporate growth. Our emphasis on people means that our team members are the engines of change and growth, working hard in a rewarding, fun, and fast-paced environment. Simply put, we offer a great culture, interesting and challenging work, training, development, and the ability to work with a dedicated team that enjoys being together.

Gemline is also very engaged in our community, supporting local and regional institutions that drive better opportunities for those that live and work around us. We are also committed to diversity and inclusion, believing that different backgrounds and experiences make us a better company.

We are looking for associates committed to driving customer success, providing an exceptional customer experience, and working in a company that values its team members’ contributions.

Gemline is headquartered 25 minutes north of Boston in Lawrence, Massachusetts, and also operates a global supply chain and technical center in Southern China. The company has over 400 employees.

For more about Gemline, visit us at www.Gemline.com",Unknown / Non-Applicable,http://www.gemline.com/
997,Baystate Financial,"https://www.glassdoor.com/Overview/Working-at-Baystate-Financial-Services-EI_IE155658.11,38.htm","Boston, MA",51 to 200 Employees,1901,Private Practice / Firm,Investment & Asset Management,,Unknown / Non-Applicable,http://www.baystatefinancial.com/
998,Creative Talent Recruiter,,,,,,,,,
999,Merrow,,,,,,,,,
1000,Table Talk Pies,"https://www.glassdoor.com/Overview/Working-at-Table-Talk-Pies-EI_IE1630182.11,26.htm","Worcester, MA",201 to 500 Employees,1924,Company - Private,Food & Beverage Manufacturing,,$100 to $500 million (USD),http://www.tabletalkpie.com/
1001,Republic Services,"https://www.glassdoor.com/Overview/Working-at-Republic-Services-EI_IE8328.11,28.htm","Phoenix, AZ",10000+ Employees,1998,Company - Public (RSG),Energy & Utilities,"Republic Services, Inc. is an industry leader in U.S. recycling and waste services. Through its subsidiaries, Republic’s collection operations, transfer stations, recycling processing centers, landfills and environmental services provide effective solutions to make responsible recycling and waste disposal effortless for customers across the country.

Each day, Republic empowers more than 35,000 exceptional employees to do their best work. The Company takes pride in the commitment to the safety of employees and communities; customer engagement; environmental stewardship and sustainable practices; community involvement, and innovation in all aspects of its business operations.

Republic strives to be an employer of choice for top talent and works to create and maintain an environment that attracts, develops and retains people who are aligned to serve customers and preserve the planet.",$5 to $10 billion (USD),http://www.republicservices.com/
1002,AllianThera Biopharma,"https://www.glassdoor.com/Overview/Working-at-AllianThera-Biopharma-EI_IE7624268.11,32.htm","Suzhou, China",Unknown,,Company - Public,,,Unknown / Non-Applicable,http:
1003,Kohler,"https://www.glassdoor.com/Overview/Working-at-Kohler-Co-EI_IE2866.11,20.htm","Kohler, WI",10000+ Employees,1873,Company - Private,Consumer Product Manufacturing,"A spirit of innovation has defined us since 1873. From our early days as a bathtub manufacturer, the creativity and entrepreneurial energy of our associates has built us into one of America’s oldest and largest privately held companies.

Today, we manufacture smart kitchen and bath products, build powerful engines and generators, and host world-class hospitality experiences. We challenge our own conventions and stretch our imaginations every day—to enhance the quality of life for current and future generations.

We are proud to be recognized as one of Fast Company’s Best Workplaces for Innovators, landing at #10 on the 2022 list, as well as winner of the Sustainability category and a finalist in the Large Companies category.

We believe that better business means a better world. Fueled by the passion of more than 40,000 associates worldwide, we’re driving change in our communities. Amazing change. Like clean drinking water for victims of natural disaster. Beautiful tile created from industrial waste. Sanitation systems for underdeveloped communities. At Kohler Co., your work matters.

Let’s aspire and inspire together, create together and move forward together.",$1 to $5 billion (USD),http://www.kohlercompany.com/careers
1004,L. S. Starrett,"https://www.glassdoor.com/Overview/Working-at-Starrett-EI_IE388.11,19.htm","Athol, MA",1001 to 5000 Employees,1880,Company - Public (SCX),Consumer Product Manufacturing,"L.S. Starrett has forged its business inch by inch. It makes more than 5,000 products, including hand measuring tools (Evans Rule tape measures, steel rules, combination squares, micrometers) and precision instruments (vernier calipers and height and depth gauges). Starrett sells its products in more than 100 countries, boasting major subsidiaries in Brazil, Scotland, and China. The company also makes levels, vises, lubricants, saw blades, and vocational and educational materials. Starrett caters to machinists in the metalworking industry but also serves the DIY, automotive, aviation, construction, marine, and farm equipment industries. Starrett acquired metrology products leader Bytewise in late 2011.",$100 to $500 million (USD),http://www.starrett.com/
1005,Jordi Labs,"https://www.glassdoor.com/Overview/Working-at-Jordi-Labs-EI_IE793194.11,21.htm","Mansfield, MA",51 to 200 Employees,1980,Company - Private,Biotech & Pharmaceuticals,"Jordi Labs was founded in 1980 to provide the highest quality analytical services, polymer-based HPLC columns and packing media in the industry. As a family company, we take pride in the production of each of our products. Customers in nearly all industries are currently using our columns and packing media products worldwide. It is our goal to help our customers overcome their analytical challenges by providing excellent products and personal assistance from our highly trained staff. Jordi Labs provides contract analytical services with a special emphasis on chemical identification and liquid chromatography products.",Unknown / Non-Applicable,http://www.jordilabs.com/
1006,Elektrofi,"https://www.glassdoor.com/Overview/Working-at-Elektrofi-EI_IE3191385.11,20.htm","Boston, MA",1 to 50 Employees,2016,Company - Public,,,Less than $1 million (USD),http://www.elektrofi.com/
1007,OHO Interactive,"https://www.glassdoor.com/Overview/Working-at-OHO-EI_IE317552.11,14.htm","Somerville, MA",1 to 50 Employees,1998,Company - Private,Internet & Web Services,"Based just outside of Boston in Somerville's Davis Square, OHO Interactive is a digital marketing agency specializing in research and strategy, website design, website development, digital marketing, and content strategy. We work with clients across industries including higher education, healthcare, and non-profits.",Unknown / Non-Applicable,http://www.oho.com/
1008,A Dog's World Unleashed,,,,,,,,,
1009,PeopleReady,"https://www.glassdoor.com/Overview/Working-at-PeopleReady-EI_IE234929.11,22.htm","Tacoma, WA",5001 to 10000 Employees,1989,Subsidiary or Business Segment,Staffing & Subcontracting,"PeopleReady specializes in quick and reliable on-demand labor and highly skilled workers. PeopleReady supports a wide range of industries, including construction, manufacturing and logistics, retail and hospitality. Leveraging its game-changing JobStack platform and 600-plus branch offices across all 50 states, Puerto Rico and Canada, PeopleReady served approximately 94,000 businesses and put approximately 220,000 people to work in 2021.",$25 to $100 million (USD),https://www.peopleready.com/
1010,Averhealth,"https://www.glassdoor.com/Overview/Working-at-averhealth-EI_IE813867.11,21.htm","Richmond, VA",51 to 200 Employees,1995,Company - Private,Health Care Services & Hospitals,"averhealth provides innovative solutions for substance use disorder monitoring and treatment. Our predictive, patient-centered individualized monitoring and care management tools combine the power of technology, and the collaboration of a dedicated support team to reclaim lives, unite families and strengthen communities.

averhealth is a friendly and fast-growing organization with an important purpose – helping people achieve lasting sobriety.",$1 to $5 million (USD),http://www.averhealth.com/
1011,IQVIA,"https://www.glassdoor.com/Overview/Working-at-IQVIA-EI_IE8347.11,16.htm","Durham, NC",10000+ Employees,2017,Company - Public (IQV),Biotech & Pharmaceuticals,"IQVIA (NYSE:IQV) is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry dedicated to delivering actionable insights. Learn more at jobs.iqvia.com.",$10+ billion (USD),http://jobs.iqvia.com/
1012,Aramark,"https://www.glassdoor.com/Overview/Working-at-Aramark-EI_IE2716.11,18.htm","Philadelphia, PA",10000+ Employees,1959,Company - Public (ARMK),Building & Personnel Services,"Aramark proudly serves the world’s leading educational institutions, Fortune 500 companies, world champion sports teams, prominent healthcare providers, iconic destinations and cultural attractions, and numerous municipalities in 19 countries around the world with food, facilities, and uniform services.

Aramark is an Equal Employment Opportunity & Affirmative Action employer.

Your privacy is our top priority throughout the hiring process. Be aware of scammers fraudulently posing as Aramark trying to obtain your personal information. At Aramark, we will never ask for confidential or sensitive personal information such as bank account or social security numbers at any point prior to you accepting an offer with Aramark. If you have any concerns about information requests that you receive from Aramark, you should reach out to your Aramark hiring manager or recruiter.",$10+ billion (USD),http://careers.aramark.com/
1013,First Priority Credit Union,,,,,,,,,
1014,Continental Woodcraft,,,,,,,,,
1015,"Prestige Services, INC.","https://www.glassdoor.com/Overview/Working-at-Prestige-Services-EI_IE772025.11,28.htm","Clifton Park, NY",201 to 500 Employees,,Company - Private,Catering & Food Service Contractors,,$25 to $100 million (USD),http://www.prestigeservicesinc.com/
1016,"Surrimassini, Inc.",,,,,,,,,
1017,Metropolitan Properties,"https://www.glassdoor.com/Overview/Working-at-Metropolitan-Properties-EI_IE3452706.11,34.htm","Nashville, TN",1 to 50 Employees,,Company - Private,Real Estate,,Unknown / Non-Applicable,http://www.mpnashville615.com/
1018,Cummaquid Golf Club,,,,,,,,,
1019,Carando Gourmet Frozen Foods,,,,,,,,,
1020,Parkway Honda,"https://www.glassdoor.com/Overview/Working-at-PARKWAY-TOYOTA-OF-BOSTON-EI_IE4498046.11,35.htm","West Roxbury, MA",Unknown,,Company - Public,Transportation Equipment Manufacturing,,Unknown / Non-Applicable,https://www.parkwaytoyotaboston.com/
1021,Audley,,,,,,,,,
1022,Fallon Health,"https://www.glassdoor.com/Overview/Working-at-Fallon-Health-EI_IE25714.11,24.htm","Worcester, MA",1001 to 5000 Employees,1977,Nonprofit Organization,Insurance Carriers,"Founded in 1977, Fallon Health is a community-focused not-for-profit health care services organization based in Worcester, Massachusetts. Committed to caring for those who need us most, we pride ourselves on providing coordinated, integrated care for older adults and for individuals with complex health needs. We serve as a provider of care through our Program of All-Inclusive Care for the Elderly (PACE). Dedicated to delivering high quality health care, we are continually rated among the nation’s top health plans for member experience and service and clinical quality.",$1 to $5 billion (USD),http://www.fallonhealth.org/
1023,GP East Steel Co.,,,,,,,,,
1024,Fotronic Corporation,"https://www.glassdoor.com/Overview/Working-at-FOTRONIC-EI_IE436066.11,19.htm","Woburn, MA",51 to 200 Employees,1992,Company - Private,Other Retail Stores,,$25 to $100 million (USD),https://www.testequipmentdepot.com/
1025,O'Connor Professional Group,"https://www.glassdoor.com/Overview/Working-at-O-Connor-Professional-Group-EI_IE1763297.11,38.htm","Hyde Park, MA",1 to 50 Employees,,Company - Private,,,$1 to $5 million (USD),http://www.oconnorpg.com/
1026,Phillips Brooks House Association,,,,,,,,,
1027,Incom,,,,,,,,,
1028,Cozy Properties,,,,,,,,,
