wikidata.id,linkedin.id
http://www.wikidata.org/entity/Q45132154,1936
http://www.wikidata.org/entity/Q110287763,458
http://www.wikidata.org/entity/Q7455694,1578
http://www.wikidata.org/entity/Q48881,146
http://www.wikidata.org/entity/Q27884098,1068
http://www.wikidata.org/entity/Q2287759,1955
http://www.wikidata.org/entity/Q2288792,1353
http://www.wikidata.org/entity/Q3277465,19
http://www.wikidata.org/entity/Q2945643,106
http://www.wikidata.org/entity/Q7537603,177
http://www.wikidata.org/entity/Q17082162,783
http://www.wikidata.org/entity/Q1784237,535
http://www.wikidata.org/entity/Q85802558,918
http://www.wikidata.org/entity/Q2037125,806
http://www.wikidata.org/entity/Q7607316,1792
http://www.wikidata.org/entity/Q3975878,37
http://www.wikidata.org/entity/Q98055133,1614
http://www.wikidata.org/entity/Q7645220,1854
http://www.wikidata.org/entity/Q2376711,27
http://www.wikidata.org/entity/Q57274138,1696
http://www.wikidata.org/entity/Q1347679,1929
http://www.wikidata.org/entity/Q3518066,631
http://www.wikidata.org/entity/Q7706196,1249
http://www.wikidata.org/entity/Q76634274,1983
http://www.wikidata.org/entity/Q7746584,1620
http://www.wikidata.org/entity/Q864407,545
http://www.wikidata.org/entity/Q7764745,305
http://www.wikidata.org/entity/Q1056637,1272
http://www.wikidata.org/entity/Q7712322,1170
http://www.wikidata.org/entity/Q7738626,1271
http://www.wikidata.org/entity/Q1543874,1973
http://www.wikidata.org/entity/Q7802889,38
http://www.wikidata.org/entity/Q3531299,244
http://www.wikidata.org/entity/Q7827120,175
http://www.wikidata.org/entity/Q8962119,1405
http://www.wikidata.org/entity/Q688825,157
http://www.wikidata.org/entity/Q7832790,1647
http://www.wikidata.org/entity/Q15109925,1607
http://www.wikidata.org/entity/Q2297063,772
http://www.wikidata.org/entity/Q1325987,1553
http://www.wikidata.org/entity/Q780442,517
http://www.wikidata.org/entity/Q7879030,272
http://www.wikidata.org/entity/Q2031485,1179
http://www.wikidata.org/entity/Q2495515,1381
http://www.wikidata.org/entity/Q3552193,1917
http://www.wikidata.org/entity/Q11407,1373
http://www.wikidata.org/entity/Q24204493,1562
http://www.wikidata.org/entity/Q332477,87
http://www.wikidata.org/entity/Q7934907,755
http://www.wikidata.org/entity/Q16912277,898
http://www.wikidata.org/entity/Q483551,82
http://www.wikidata.org/entity/Q191715,1897
http://www.wikidata.org/entity/Q5936320,1397
http://www.wikidata.org/entity/Q3540193,523
http://www.wikidata.org/entity/Q19995004,77
http://www.wikidata.org/entity/Q7978891,1114
http://www.wikidata.org/entity/Q7980370,1121
http://www.wikidata.org/entity/Q744149,54
http://www.wikidata.org/entity/Q7988847,576
http://www.wikidata.org/entity/Q1780382,1702
http://www.wikidata.org/entity/Q1809448,62
http://www.wikidata.org/entity/Q2581220,1840
http://www.wikidata.org/entity/Q8035729,2307
http://www.wikidata.org/entity/Q8034666,176
http://www.wikidata.org/entity/Q30593846,189
http://www.wikidata.org/entity/Q29231846,760
http://www.wikidata.org/entity/Q8067635,1805
http://www.wikidata.org/entity/Q8071921,1342
http://www.wikidata.org/entity/Q98241095,1709
